algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dcesca,24576,1024,32,41,61473536,62632530,10149301,3642318,0.535100
dcesca,24576,1024,32,42,67041943,65346573,10010270,3841279,0.523300
dcesca,24576,1024,32,43,61849634,58234348,10274271,3815193,0.520200
dcesca,24576,1024,32,44,62696250,58928744,10433131,3888479,0.530700
dcesca,24576,1024,32,45,59459992,58182529,10704859,4153185,0.559600
dcesca,24576,1024,32,46,55604838,53589524,10504476,3916020,0.535100
dcesca,24576,1024,32,47,51656057,45879338,10612050,3346936,0.556900
dcesca,24576,1024,32,48,49043575,43958749,10649320,2806800,0.554000
dcesca,24576,1024,32,49,49171322,44809395,9997234,3417806,0.526700
dcesca,24576,1024,32,50,47705139,43843699,10111403,2705637,0.549200
dcesca,24576,1024,32,51,46489444,41907546,10234660,2745508,0.552200
dcesca,24576,1024,32,52,46298954,41243669,10400496,2797880,0.558500
dcesca,24576,1024,32,53,47080996,41955886,10651508,2885473,0.571000
dcesca,24576,1024,32,54,46720827,41276994,10759449,2948892,0.587900
dcesca,24576,1024,32,55,42035293,35633393,10549565,2755897,0.538400
dcesca,24576,1024,32,56,42700392,36274748,10713718,2811161,0.553700
dcesca,24576,1024,32,57,48176451,42519361,10366790,2693749,0.534200
dcesca,24576,1024,32,58,49421932,45750127,10430546,2889221,0.558800
dcesca,24576,1024,32,59,46213139,41939773,10292326,2772773,0.550500
dcesca,24576,1024,32,60,45455144,40681171,10241162,2760640,0.557600
dcesca,24576,1024,32,61,45943058,40131001,10525559,2796932,0.564800
dcesca,24576,1024,32,62,46183536,40789935,10741304,2936942,0.580700
dcesca,24576,1024,32,63,42323500,36031158,10605486,2734248,0.543400
dcesca,24576,1024,32,64,44480660,38169519,10860552,2976983,0.583800
dcesca,24576,1024,32,65,54289473,49764704,10433376,2703158,0.529500
dcesca,24576,1024,32,66,54842816,51868032,10043486,2902288,0.528400
dcesca,24576,1024,32,67,62141687,59684662,10164738,3813801,0.520500
dcesca,24576,1024,32,68,64110859,58790621,10507536,3963220,0.537000
dcesca,24576,1024,32,69,60197112,57355688,10543000,4017703,0.547700
dcesca,24576,1024,32,70,54831464,53349290,10877153,4237243,0.577700
dcesca,24576,1024,32,71,50438469,46260258,10728207,3379480,0.562600
dcesca,24576,1024,32,72,48944150,43764231,10768231,3271921,0.551200
dcesca,24576,1024,32,73,62172143,58422580,10164632,3343739,0.532800
dcesca,24576,1024,32,74,69589605,64495318,10452807,3892962,0.530300
dcesca,24576,1024,32,75,64091267,61468653,10347696,3941464,0.536300
dcesca,24576,1024,32,76,62362023,59799895,10321426,3953474,0.537700
dcesca,24576,1024,32,77,60280669,58894747,10617282,4047737,0.551300
dcesca,24576,1024,32,78,54519270,51173819,10405944,3872261,0.527800
