algorithm,task,matrix_size,tile_size,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,11,30948313106,27704258789,5536500916,2072002056,251.186
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,12,30490150888,27588916127,5486079323,2105564764,248.776
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,13,30658631414,27785458654,5550682349,2093445006,250.611
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,14,30178949963,27361705771,5495206675,2077417966,248.684
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,15,30598684973,27528037560,5517722477,2079251671,249.61
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,16,30404990889,27423486742,5504325873,2107784197,249.046
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,1,31041110720,27815131063,5558949290,2078178345,252.877
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,2,30353070307,27349124139,5491658468,2108492510,248.869
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,3,30675564903,27619247593,5512351274,2065963391,249.785
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,4,30437420188,27500467135,5526884025,2108025846,251.694
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,5,30427967087,27397165459,5483668379,2103737117,248.687
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,6,30499908736,27448366866,5558498292,2077687460,252.202
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,7,30438202962,27562050351,5524038714,2094852775,250.245
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,8,30641372486,27534370063,5554526443,2076749631,251.666
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,9,30771880148,27594150061,5531038954,2095604892,251.244
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,10,30336438391,27367650825,5494048374,2104413989,249.154
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,11,30948313106,27704258789,5536500916,2072002056,251.186
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,12,30490150888,27588916127,5486079323,2105564764,248.776
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,13,30658631414,27785458654,5550682349,2093445006,250.611
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,14,30178949963,27361705771,5495206675,2077417966,248.684
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,15,30598684973,27528037560,5517722477,2079251671,249.61
qr,tsqrt,32768,1024,0.731783,0.000728,0.013161,0.423553,13.653377,16,30404990889,27423486742,5504325873,2107784197,249.046
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,1,31041110720,27815131063,5558949290,2078178345,252.877
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,2,30353070307,27349124139,5491658468,2108492510,248.869
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,3,30675564903,27619247593,5512351274,2065963391,249.785
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,4,30437420188,27500467135,5526884025,2108025846,251.694
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,5,30427967087,27397165459,5483668379,2103737117,248.687
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,6,30499908736,27448366866,5558498292,2077687460,252.202
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,7,30438202962,27562050351,5524038714,2094852775,250.245
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,8,30641372486,27534370063,5554526443,2076749631,251.666
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,9,30771880148,27594150061,5531038954,2095604892,251.244
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,10,30336438391,27367650825,5494048374,2104413989,249.154
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,11,30948313106,27704258789,5536500916,2072002056,251.186
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,12,30490150888,27588916127,5486079323,2105564764,248.776
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,13,30658631414,27785458654,5550682349,2093445006,250.611
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,14,30178949963,27361705771,5495206675,2077417966,248.684
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,15,30598684973,27528037560,5517722477,2079251671,249.61
qr,tsmqr,32768,1024,0.250503,0.002056,0.006822,2.93564,573.166145,16,30404990889,27423486742,5504325873,2107784197,249.046
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,1,64442481267,57687245631,10549737870,3946334478,487.046
